AT,dPE_dAT
34.626582914572865,-0.190796465684681
34.80396984924623,-0.17113363435244544
34.9813567839196,-0.15234108760905363
35.158743718592966,-0.13445034111679455
35.33613065326633,-0.11749323644710996
35.5135175879397,-0.10150194108057997
35.69090452261307,-0.08650894840692835
35.86829145728643,-0.07254707772503854
36.045678391959804,-0.05964947424290723
36.22306532663317,-0.04784960907770519
36.40045226130653,-0.037181279255736
36.5778391959799,-0.027678607712449788
36.75522613065327,-0.01937604329243836
36.932613065326635,-0.01230836074944719
37.11,-0.006510660746344543
